Round,Rank,Value,Name,Inj,Team,Pos,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
8,90,-0.099814407,Oshae Brissett,,IND,SF/PF,21,24.71984127,10.9047619,1.571428571,5.476190476,0.857142857,0.904761905,0.952380952,0.483443709,7.19047619,0.769230769,3.095238095,0.476190476,-0.88637911,-0.158938169,-0.156017012,-1.216068311,-0.262616238,0.530935895,0.041208175,-0.311698973,1.521244084
8,91,-0.106473212,Enes Freedom,Traded - bos to hou,POR,C,72,24.41134259,11.19444444,0.013888889,11.02777778,1.166666667,0.458333333,0.666666667,0.604278075,7.791666667,0.774390244,2.277777778,1.083333333,-0.838454706,-1.639477293,2.078359224,-1.079701078,-1.544215736,-0.021339397,1.448145943,-0.196249501,0.834673634
8,92,-0.109059428,Marcus Smart,,BOS,PG/SG,48,32.94201389,13.0625,1.9375,3.479166667,5.6875,1.479166667,0.5,0.398039216,10.625,0.790123457,3.375,2,-0.529407946,0.189035676,-0.959769579,0.91204726,1.386375117,-0.343499984,-1.304650636,-0.129751635,-0.201913124
8,93,-0.114952482,Miles Bridges,,CHA,SF/PF,66,29.27121212,12.72727273,1.757575758,6.045454545,2.227272727,0.636363636,0.787878788,0.503215434,9.424242424,0.867256637,1.712121212,1.606060606,-0.584867165,0.018006403,0.073097661,-0.612428741,-1.033129391,0.212959212,0.325006383,0.323221122,0.243562177
8,94,-0.129843968,Derrick White,,SAS,PG/SG,36,29.54305556,15.36111111,2.333333333,2.972222222,3.527777778,0.722222222,1,0.410596026,12.58333333,0.850877193,3.166666667,1.25,-0.149131078,0.565300077,-1.163802148,-0.039463851,-0.786648033,0.622981777,-1.313495601,0.449459829,0.646203314
8,95,-0.135236012,Jakob Poeltl,,SAS,C,69,26.74251208,8.594202899,0,7.956521739,1.942028986,0.68115942,1.782608696,0.614849188,6.246376812,0.508064516,1.797101449,1.217391304,-1.26863261,-1.652679552,0.842254821,-0.738098879,-0.904530421,2.135735839,1.264073661,-1.578324912,0.683077942
8,96,-0.139162012,Joe Harris,Injured - left ankle (0g) - 3/23/2022,BKN,SG/SF,69,31.0326087,14.11594203,3.057971014,3.594202899,1.884057971,0.68115942,0.202898551,0.504950495,10.24637681,0.777777778,0.913043478,0.898550725,-0.35512895,1.254113627,-0.913470348,-0.76363923,-0.904530421,-0.917786248,0.377888662,-0.073535056,1.043629858
9,97,-0.142848823,Ben Simmons,Injured - back soreness/conditioning (0g) - 3/16/2022,PHI,PG,58,32.36896552,14.29310345,0.051724138,7.189655172,6.913793103,1.603448276,0.603448276,0.557461407,10.05172414,0.613240418,4.948275862,2.982758621,-0.325819778,-1.603512516,0.533610042,1.452316514,1.743160632,-0.143538241,1.159053264,-2.787671213,-1.313238112
9,98,-0.145283388,Thomas Bryant,,WAS,C,10,27.085,14.3,0.9,6.1,1.5,0.4,0.8,0.648351648,9.1,0.666666667,2.4,1.1,-0.324678828,-0.797173124,0.095050854,-0.932844058,-1.711678071,0.236389073,2.286138106,-0.974581049,0.815826602
9,99,-0.146895839,De'Andre Hunter,,ATL,SF/PF,23,29.47173913,14.95652174,1.347826087,4.782608696,1.913043478,0.826086957,0.52173913,0.48,10.86956522,0.858823529,3.695652174,1.260869565,-0.216065401,-0.37148635,-0.435166481,-0.750869054,-0.488474932,-0.301479038,-0.00536085,0.612927782,0.633911772
9,100,-0.150225827,Kendrick Nunn,Injured - right knee (0g) - 3/19/2022,MIA,PG/SG,56,29.46875,14.57142857,2.178571429,3.196428571,2.642857143,0.964285714,0.25,0.484802432,11.75,0.933333333,1.071428571,1.428571429,-0.279774318,0.418189184,-1.073564652,-0.429334274,-0.091736305,-0.826740865,0.076573601,0.410084354,0.444270829
9,101,-0.152370912,Victor Oladipo,Injured - ruptured quad (0g) - 3/7/2022,MIA,SG/SF,33,32.72828283,19.75757576,2.363636364,4.848484848,4.575757576,1.424242424,0.424242424,0.407986111,17.45454545,0.753623188,4.181818182,2.515151515,0.578209792,0.594105008,-0.408652963,0.422245721,1.228699542,-0.489936615,-1.898883701,-0.612667242,-0.784457748
9,102,-0.154086502,Mason Plumlee,,DET,PF/C,56,26.76190476,10.375,0,9.267857143,3.607142857,0.767857143,0.892857143,0.615789474,6.785714286,0.668639053,3.017857143,1.875,-0.974021686,-1.652679552,1.370034806,-0.004497894,-0.655640084,0.415878543,1.38075579,-1.206048053,-0.060560384
